,Datetime,Tweet Id,original_text,id_x,id_y,name,place_type,full_name,country,bounding_box,centroid
1044,2022-05-25 20:24:15+00:00,1529558987229868032,"BENEFITS OF GHANA SEED:
👉For flat tummy
👉For weight loss
👉For backache/waist pain
👉For constipation
👉Treats Toilet infection
👉Fights diabetes
👉Shrinks Fibroid
👉 Treats Typhoid $ Malaria 
👉Relieves menstrual cramps
👉Fallopian tube blockage
Price:2000
08070579286
MOWE https://t.co/rtbZgWDsGg",07d9d78172883002,07d9d78172883002,Mowe,poi,Mowe,Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.4441084821131756, 6.81867195386817], [3.4441084821131756, 6.81867195386817], [3.4441084821131756, 6.81867195386817], [3.4441084821131756, 6.81867195386817], [3.4441084821131756, 6.81867195386817]]]}","[3.4441084821131756, 6.81867195386817]"
1040,2022-05-26 07:08:38+00:00,1529721154725990400,Are you having malaria sir? https://t.co/xRRBLllCOY,00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
1180,2022-05-26 14:10:35+00:00,1529827339978387458,Been in pains all day... I hate that malaria always picks the worst day to show me pepper. How I survived in my exam hall is a miracle as I was in crazy pains. God!!!,0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
1179,2022-05-26 14:18:24+00:00,1529829307358625795,"Malaria++ 🥲 (and it doesn’t feel like it, lmao)",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
1177,2022-05-26 14:41:35+00:00,1529835140486135808,"diagnosis: Malaria++ and a much weaker immune system, weird stuff.",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
1175,2022-05-26 20:36:20+00:00,1529924418193047555,"So na hungry dey wipe,na I think say na malaria 😅😅 https://t.co/KlkloVctFJ",0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
1173,2022-05-27 10:42:43+00:00,1530137415796523010,This is the longest I've gone without taking treatment for malaria; 5 months going on 6,01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1171,2022-05-27 18:30:36+00:00,1530255162597691395,"Saw myself in a full mirror today, damn!!! I look good. Even with malaria and a lil tummy pooch. 😒😂😂",0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
1170,2022-05-27 19:31:24+00:00,1530270464764944384,"Fine men😭🥲 
Merely looking a these pictures, malaria got nothing on me🤒 https://t.co/jrbvQgB4Lm https://t.co/SVZIWIPTZz",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1159,2022-05-30 12:22:21+00:00,1531249652812611584,"If mosquitoes bit you in the day, I was told it can't transmit malaria, how true is this @temmywale1 my lyrical weyrey",0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
1158,2022-05-30 15:29:07+00:00,1531296653742858240,"Praying for rapid healing from the Lord 🙏
This malaria and joint pains ti sunmi, I really need to get back to work",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1156,2022-05-30 23:48:48+00:00,1531422406866354176,Businessman held over fake anti-malaria import https://t.co/0E88KmMvWP via @Inoreader,01546f6801ce58cd,01546f6801ce58cd,Uyo,city,"Uyo, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.8619108, 4.9711142], [7.8619108, 5.0716486], [8.0037505, 5.0716486], [8.0037505, 4.9711142], [7.8619108, 4.9711142]]]}","[7.923095439287094, 5.021383650000001]"
1155,2022-05-31 00:13:16+00:00,1531428562087006208,‘Ment or malaria’ – Nigerians react as Noble Igwe steps out to event in Boxers and Jacket - Kemi Filani News https://t.co/p1vIUpTkRE https://t.co/7tzbMt4aeF,00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
1154,2022-05-31 01:10:50+00:00,1531443051167621120,For the first time I didn't finish sitta Shawwal..5 out of 6 as Shawwal ended yesterday..it hurts.. malaria has been dealing with me but the days I fasted..May Almighty Allah reward me abundantly https://t.co/6Pr1T5ZFex,01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1153,2022-05-31 03:02:17+00:00,1531471098512039936,"mosquito repellent bulb💡
it drives away mosquitoes and other flying insects within is function area, for indoor and outdoor use, it comes with plug 
now available in Nigeria, 4000 Naira 20 watt, order yours now, whatsapp/call 09072751949 #AbujaTwitterCommunity
#malaria https://t.co/xLuPocJllX",016866085b3a225b,016866085b3a225b,Karu,city,"Karu, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.550692, 8.9793214], [7.550692, 9.0480071], [7.6099878, 9.0480071], [7.6099878, 8.9793214], [7.550692, 8.9793214]]]}","[7.58318769751226, 9.0145141]"
1149,2022-05-31 13:11:06+00:00,1531624309583749120,What's in malaria drug that makes you sleep like a fool,0008cb6457ff0b55,0008cb6457ff0b55,Port Harcourt,city,"Port Harcourt, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.9380658, 4.7337699], [6.9380658, 4.9154902], [7.1244854, 4.9154902], [7.1244854, 4.7337699], [6.9380658, 4.7337699]]]}","[7.01751959342015, 4.82465265]"
1145,2022-05-31 16:03:20+00:00,1531667653722615808,"I am of the opinion that 'Agbo' (local herbs) is greater than 'drugs' (tablets and cyrups).
...the past few days has been so rough to me health wise, treated typhoid and Malaria 😓 Had a nurse come home to treat me, she passed about three fluids (drips) into my body....",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1143,2022-05-31 18:49:50+00:00,1531709554056216576,Malaria pussy&gt;&gt;&gt;,01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1141,2022-05-31 20:29:14+00:00,1531734572156739589,"#IMAGINE WE HOOKUP AND THE NEXT THING YOU BEGIN TO CATCH FEELINGS LIKE MALARIA FEVER AND LOVE STARTS WORRYING YOU. 
#edoguy #hookup #BROWN_THA_BARBER #edoLove #beardedguy #hookup Peak milk Big wiz Stephanie https://t.co/SvuOmzfQQ4",08cd31c078970000,08cd31c078970000,355 Steakhouse & Lounge,poi,355 Steakhouse & Lounge,Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.493348116639989, 9.100583644534467], [7.493348116639989, 9.100583644534467], [7.493348116639989, 9.100583644534467], [7.493348116639989, 9.100583644534467], [7.493348116639989, 9.100583644534467]]]}","[7.493348116639989, 9.100583644534467]"
1140,2022-05-31 20:33:38+00:00,1531735677456601090,The smell of malaria drug nauseates me 😩,01b9b5ad6555130d,01b9b5ad6555130d,Ondo,admin,"Ondo, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[4.3721695, 5.8268757], [4.3721695, 7.7988504], [6.0498906, 7.7988504], [6.0498906, 5.8268757], [4.3721695, 5.8268757]]]}","[4.844942829749399, 6.8127994]"
1139,2022-05-31 21:06:47+00:00,1531744021068058627,😳😳😳 malaria drugs used to be cheap o compared to insecticide sef. https://t.co/a6BMzzsDQj,0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
1138,2022-05-31 22:45:25+00:00,1531768844058075136,"Bn having malaria since morning, now my phone vibr8s and malaria suddenly disappears 😉",00817d75276a95cf,00817d75276a95cf,Lagos,city,"Lagos, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.2131467, 6.4278856], [3.2131467, 6.5583389], [3.4640641, 6.5583389], [3.4640641, 6.4278856], [3.2131467, 6.4278856]]]}","[3.353965876125497, 6.49309225]"
1133,2022-06-01 08:06:01+00:00,1531909921373052930,Na so e Dey start sha. Sign and symptoms of severe malaria. Subhanallahi Sannu 🙏 https://t.co/L4dghsozBH,00611f1548c7bdef,00611f1548c7bdef,Kano,city,"Kano, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[8.4475987, 11.9296331], [8.4475987, 12.0803669], [8.6073347, 12.0803669], [8.6073347, 11.9296331], [8.4475987, 11.9296331]]]}","[8.537218642359688, 12.00500315]"
1126,2022-06-01 15:40:36+00:00,1532024322797232128,"Like why am I having heddik, fever and malaria symptoms? https://t.co/fTlGU72JHZ",01c46739344ba9f6,01c46739344ba9f6,Federal Capital Territory,admin,"Federal Capital Territory, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.7786135, 8.4504401], [6.7786135, 9.4345273], [7.7274781, 9.4345273], [7.7274781, 8.4504401], [6.7786135, 8.4504401]]]}","[7.186988802142225, 8.93077985]"
1125,2022-06-01 16:22:33+00:00,1532034878245593088,"I'm so proud to be among the volunteers that worked with @_The100kclub and @aproko_doctor at 📍 Ojota  my neighborhood where we tested Malaria,Check the Blood pressure and Blood sugar level of people.
It's such a wonderful experience. ❤️ https://t.co/tdFL65RzJB",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1258,2022-06-02 17:58:50+00:00,1532421495653380102,"The irony of the strength of my immune system is such that if I'm bitten by a malaria-carrying female anopheles mosquito now, three days later, I'm a malaria patient!",00736090135e4335,00736090135e4335,Taraba,admin,"Taraba, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[9.1311069, 6.5091563], [9.1311069, 9.5837901], [11.9234113, 9.5837901], [11.9234113, 6.5091563], [9.1311069, 6.5091563]]]}","[10.393383076318857, 8.045866]"
1257,2022-06-02 20:53:24+00:00,1532465427103768601,"A malaria-free society begins with all of us. Women too Africa in conjunction with foodclinique &amp;pepsico presents, free distribution of mosquito nets and food boxes.
#malariafree #malaria #kickoutmalaria https://t.co/gCWBcpDjB5",0008cb6457ff0b55,0008cb6457ff0b55,Port Harcourt,city,"Port Harcourt, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.9380658, 4.7337699], [6.9380658, 4.9154902], [7.1244854, 4.9154902], [7.1244854, 4.7337699], [6.9380658, 4.7337699]]]}","[7.01751959342015, 4.82465265]"
1256,2022-06-02 23:20:26+00:00,1532502431552401408,"what is Malaria?  
What are the causes of it?
What are the symptoms of malaria?
The effects of malaria,
And how it's cured
#disease
#malaria
#Mosquito
#plasmoduim
#faciparum
#vivax
#Health
Read at https://t.co/BGPqeoqP7s https://t.co/4r0jMPygCV",59b27337f38d658b,59b27337f38d658b,Nigeria,country,Nigeria,Nigeria,"{'type': 'Polygon', 'coordinates': [[[2.6654364, 4.1974055], [2.6654364, 13.8881151], [14.6777951, 13.8881151], [14.6777951, 4.1974055], [2.6654364, 4.1974055]]]}","[7.822704037915037, 9.04266935]"
1255,2022-06-03 06:50:09+00:00,1532615604246568960,"Tbh, this is so funny 😂 
So I’m currently on malaria meds, but as I slept last night, I dreamt that Peter Obi pulled up in a vintage Mercedes alone to buy corn at the road side and as those around me sighted him, we went by to say hello.
Even in the dream, he had plans for Naija",01ed1f9a43bfb9bd,01ed1f9a43bfb9bd,Victoria Island,city,"Victoria Island, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.4023218, 6.3962643], [3.4023218, 6.4867971], [3.6013694, 6.4867971], [3.6013694, 6.3962643], [3.4023218, 6.3962643]]]}","[3.4678846385647675, 6.4415264]"
1246,2022-06-03 20:25:20+00:00,1532820751912402945,"Malaria pls leave me abeg 🙏
I can't withstand this headache 
😥😥😥💔💔",0065f09a6666479e,0065f09a6666479e,Ibadan,city,"Ibadan, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.7770114, 7.2991429], [3.7770114, 7.5590064], [4.0335816, 7.5590064], [4.0335816, 7.2991429], [3.7770114, 7.2991429]]]}","[3.918892141653733, 7.42911945]"
1244,2022-06-04 06:32:51+00:00,1532973639427100672,"We’re just friends with benefit, why you dey call me your babe? 😂 Ment or Malaria??",01eddd9d0dbec2c8,01eddd9d0dbec2c8,Ikeja,city,"Ikeja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[3.198942, 6.4826762], [3.198942, 6.6985461], [3.43719, 6.6985461], [3.43719, 6.4826762], [3.198942, 6.4826762]]]}","[3.309083744459687, 6.5905933]"
1243,2022-06-04 08:01:08+00:00,1532995858391867392,"What actually happened to the friendship between Malaria and Liquoman😄🤣
#MariaChike #Liquorose𓃵 #BBNReunion #BBNaija #BBNaijaShineYaEye #bbnaijareunion2022 https://t.co/IRGor4n3Tk",01c46739344ba9f6,01c46739344ba9f6,Federal Capital Territory,admin,"Federal Capital Territory, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[6.7786135, 8.4504401], [6.7786135, 9.4345273], [7.7274781, 9.4345273], [7.7274781, 8.4504401], [6.7786135, 8.4504401]]]}","[7.186988802142225, 8.93077985]"
1239,2022-06-04 18:58:38+00:00,1533161322925498372,"I just want to be part of UN or UNICEF representing youths fighting against malaria and under 5 diseases..just lost a child,her parents stocked her up with all kinds of herbs in the name of spiritual problem..we have a lot to do especially in rural areas @UNICEF @UNICEF_Nigeria",00e55e2b4c491c5f,00e55e2b4c491c5f,Abuja,city,"Abuja, Nigeria",Nigeria,"{'type': 'Polygon', 'coordinates': [[[7.3045544, 8.961887], [7.3045544, 9.1854407], [7.5436339, 9.1854407], [7.5436339, 8.961887], [7.3045544, 8.961887]]]}","[7.456676011172293, 9.0737594]"
